termine;descrizione
Baseline;Una ``baseline" indica una configurazione stabile e controllata di un sistema o di un prodotto in un particolare momento del suo ciclo di vita. Questa configurazione può comprendere specifiche tecniche, documentazione, codice sorgente o altri elementi critici che definiscono le caratteristiche e le funzionalità del sistema. Le baseline costituiscono un punto di riferimento essenziale per valutare eventuali modifiche, monitorare il progresso e garantire la coerenza nel tempo.
Best practice;Il modo migliore per condurre la produzione. Si basa su procedure ripetibili che nel tempo hanno dimostrato di essere le migliori sia per l'efficienza (meno sforzo richiesto) sia per l'efficacia (migliori risultati). Seguire le buone pratiche assicura il raggiungimento degli obiettivi massimizzando economia e qualità.
Board;Su GitHub, un project board, o più semplicemente board, rappresenta uno strumento fondamentale per organizzare e monitorare le attività di un progetto. È composto da colonne che riflettono lo stato delle attività. Gli issue e le pull request possono essere assegnati a tali colonne per indicarne lo stato attuale.
Branch;Nel campo dello sviluppo software, un branch costituisce una copia indipendente del codice sorgente che consente agli sviluppatori di lavorare su modifiche separate senza impattare direttamente il flusso principale. I branch agevolano lo sviluppo simultaneo e la gestione delle versioni.
Capitolato;Un capitolato è un documento che definisce le specifiche, i requisiti e le principali condizioni di un progetto o di un appalto. Serve a delineare in modo dettagliato ciò che deve essere realizzato, le prestazioni attese e le regole da seguire. Fornisce una base solida per la pianificazione e l'esecuzione del progetto, garantendo una chiara comprensione delle aspettative da parte di tutte le parti coinvolte e identificando un problema o un bisogno da risolvere.
Database;Un sistema organizzato per la raccolta, la memorizzazione e la gestione di dati strutturati in modo che possano essere facilmente recuperati, aggiornati ed elaborati.
Discord;Discord è una piattaforma di comunicazione online che unisce chat testuale, vocale e video. Gli utenti possono creare server, organizzare discussioni in canali e personalizzare l'esperienza di comunicazione. Discord offre anche un sistema di ruoli e autorizzazioni per controllare l'accesso degli utenti e definire le loro capacità all'interno del server. Supporta inoltre bot e integrazioni di terze parti per aggiungere funzionalità personalizzate ai server.
Docker;Una piattaforma open-source che automatizza il processo di distribuzione delle applicazioni all'interno di contenitori leggeri e portabili.
Docker Compose;Uno strumento per definire ed eseguire applicazioni Docker multi-container. Permette di configurare un'applicazione complessa con più servizi e relative dipendenze in un singolo file.
Funzionalità;Attributo di un particolare prodotto o componente software utilizzato per scopi operativi.
Git;Git è un sistema di controllo delle versioni distribuito (DVCS), progettato per tracciare le modifiche nel codice sorgente durante lo sviluppo del software. È uno strumento essenziale per la gestione del controllo delle versioni, che consente agli sviluppatori di lavorare in modo collaborativo e di tenere traccia delle modifiche apportate al codice nel tempo, permettendo inoltre il ripristino a versioni precedenti del software in modo controllato.
GitHub;GitHub è una piattaforma di sviluppo collaborativo basata su Git che consente agli sviluppatori di lavorare insieme, gestire le versioni del codice sorgente e facilitare la collaborazione in progetti software. Le sue principali caratteristiche includono repository per il controllo delle versioni, strumenti di tracciamento dei problemi (issues) e funzionalità di gestione dei progetti (project boards).
Issue;In ambito di GitHub, un issue (problema) rappresenta un meccanismo attraverso il quale gli utenti possono segnalare, discutere e tenere traccia di attività specifiche all'interno di un progetto. Ogni issue ha un thread di commenti associato, consentendo la comunicazione tra i membri del team o i collaboratori esterni. Questo strumento facilita la collaborazione e la gestione delle attività nello sviluppo del software.
LaTeX;Un sistema di preparazione dei documenti basato su un linguaggio di markup. È spesso utilizzato per la creazione di documenti tecnici, accademici e scientifici.
Milestone;Una milestone è una data di calendario che indica un punto di avanzamento atteso. Nel contesto di GitHub o di altre piattaforme di gestione dei progetti, le milestone sono spesso utilizzate per organizzare e tenere traccia di gruppi di issues o di attività correlate. Associare un gruppo di issues a una milestone può aiutare a monitorare il progresso e a stabilire obiettivi intermedi, contribuendo a gestire in modo più efficace lo sviluppo del progetto.
Proponente;Il proponente è colui che presenta ufficialmente l'iniziativa e promuove la sua realizzazione. È il cliente rispetto alle esigenze del prodotto e il mentore rispetto alle scelte di sviluppo.
Proof of Concept;Artificio usa-e-getta, sotto forma di demo eseguibile, realizzato all'inizio del progetto per valutare la fattibilità tecnologica del prodotto atteso rispetto a specifiche funzionalità individuate con il proponente. Non si pone quindi l'obiettivo di essere una baseline architetturale bensì tecnologica, per dimostrare la padronanza delle tecnologie necessarie da parte del team.
Python;Linguaggio di programmazione ad alto livello, interpretato e general-purpose, noto per la sua sintassi chiara, facilità d'uso e ampia disponibilità di librerie e framework.
Repository;Un repository, o più semplicemente repo, è uno spazio di archiviazione digitale utilizzato per conservare e gestire i file di un progetto, in particolare nel contesto del controllo delle versioni del software. Un repository può includere file di codice, documentazione, risorse multimediali o qualsiasi altro elemento necessario per il progetto.
RTB;Nel contesto dell'ingegneria del software, è una fase iniziale e fondamentale del processo di sviluppo del software. In questa fase, l'obiettivo principale è stabilire e comprendere i requisiti del sistema e definire la base tecnologica sulla quale il progetto si svilupperà. Le tre principali attività di questa fase sono: l'analisi dei requisiti, la definizione della baseline tecnologica e la definizione della baseline di progetto.
Sprint;Periodo di tempo prefissato entro il quale lavorare producendo dei risultati documentati: sono il nucleo delle metodologie Agile, atte a produrre risultati discreti in dimensione ma in maniera costante.
